id,event,start_date,end_date,all_day,description,start_datetime
1,Flower Experience,2025-05-29 09:00,2025-06-01 18:00,True,Come frolic through our flower fields and enjoy the beauty of nature.,2025-05-29 09:00:00
2,Pick Your Own Strawberries,2025-05-29 09:00,2025-06-09 18:00,True,Pick your own strawberries and enjoy the sweet taste of summer.,2025-05-29 09:00:00
3,Sunflower Festival,2025-06-01 09:00,2025-06-15 18:00,True,Join us for our annual sunflower festival and enjoy the beauty of our sunflower fields.,2025-06-01 09:00:00
4,Pumpkin Picking,2025-09-01 10:00,2025-09-01 16:00,False,Celebrate fall with a same-day pumpkin picking event.,2025-09-01 10:00:00
5,Christmas Tree Farm,2025-11-01 09:00,2025-12-24 18:00,True,Come pick your own Christmas tree and enjoy the holiday season.,2025-11-01 09:00:00
6,Winter Wonderland,2025-12-01 09:00,2025-12-31 18:00,True,Join us for our winter wonderland event and enjoy the beauty of the season.,2025-12-01 09:00:00
7,Easter Egg Hunt,2025-04-05 11:00,2025-04-05 14:00,False,Participate in our one-day Easter egg hunt.,2025-04-05 11:00:00
8,Fall Festival,2025-09-23 09:00,2025-10-11 18:00,True,"Enjoy our fall festival with local food, crafts, and music in one day.",2025-09-23 09:00:00
9,Spring Fling,2025-04-20 10:00,2025-04-20 15:00,False,Join us for a one-day spring fling packed with fun activities.,2025-04-20 10:00:00
10,Summer Splash,2025-06-01 12:00,2025-06-01 17:00,False,Experience a day of water activities and summer fun.,2025-06-01 12:00:00
11,Harvest Festival,2025-10-10 10:00,2025-10-10 16:00,False,"Celebrate the harvest with a fun, one-day festival featuring local produce.",2025-10-10 10:00:00
12,New Year's Celebration,2025-12-31 18:00,2025-12-31 23:59,False,Ring in the New Year with a spectacular one-night celebration.,2025-12-31 18:00:00
13,Valentine's Evening,2025-02-14 18:00,2025-02-14 21:00,False,A romantic evening celebration on Valentine's Day.,2025-02-14 18:00:00
14,Mother's Day Brunch,2025-05-11 11:00,2025-05-11 14:00,False,Enjoy a special brunch dedicated to all mothers on a single day.,2025-05-11 11:00:00
15,Father's Day Outing,2025-06-15 11:00,2025-06-15 15:00,False,A fun outing to celebrate Father's Day.,2025-06-15 11:00:00
16,Labor Day BBQ,2025-09-01 12:00,2025-09-01 18:00,False,Celebrate Labor Day with a BBQ in one exciting day.,2025-09-01 12:00:00
17,Halloween Bash,2025-10-31 18:00,2025-10-31 23:00,False,Join our thrilling Halloween party and costume contest.,2025-10-31 18:00:00
18,Thanksgiving Dinner,2025-11-27 15:00,2025-11-27 20:00,False,Gather for a festive Thanksgiving dinner with family and friends.,2025-11-27 15:00:00
19,New Year's Eve Party,2025-12-31 19:00,2025-12-31 23:00,False,Enjoy a fun-filled New Year's Eve party with live music and fireworks.,2025-12-31 19:00:00
20,St. Patrick's Day Parade,2025-03-17 10:00,2025-03-17 13:00,False,Join the lively parade and celebration on St. Patrick's Day.,2025-03-17 10:00:00
21,Earth Day Fun Run,2025-04-22 09:00,2025-04-22 12:00,False,Participate in a refreshing fun run to celebrate Earth Day.,2025-04-22 09:00:00
22,Memorial Day Parade,2025-05-26 10:00,2025-05-26 12:00,False,Parade and festivities to honor Memorial Day.,2025-05-26 10:00:00
23,Independence Day Fireworks,2025-07-04 20:00,2025-07-04 22:00,False,Watch dazzling fireworks on Independence Day.,2025-07-04 20:00:00
24,Spring Picnic in the Park,2025-04-15 12:00,2025-04-15 16:00,False,Enjoy a relaxed spring picnic with games and local treats.,2025-04-15 12:00:00
25,Summer Music Festival,2025-07-20 14:00,2025-07-20 22:00,False,Experience live music and summer vibes at our one-day festival.,2025-07-20 14:00:00
26,Autumn Art Fair,2025-10-05 10:00,2025-10-05 18:00,False,Discover local art and crafts at our fall art fair.,2025-10-05 10:00:00
27,Art and Music Festival,2025-08-12 12:00,2025-08-12 20:00,False,Celebrate creativity at our one-day art and music festival.,2025-08-12 12:00:00
